1	101709563
1	151122489
1	159174683
2	7968275
2	17362568
2	17901485
2	109513601
2	109579738
2	136707982
2	158667217
3	121459589
4	38815502
4	100239319
4	100244319
4	105375423
5	33951693
5	170202984
5	6845035
6	136482727
6	90518278
7	28172586
8	31896592
8	110602317
8	122124302
8	145639681
9	127267689
10	94921065
11	61597212
11	113296286
12	112211833
12	112241766
13	34847737
13	41715282
13	42579985
13	49070512
13	111827167
14	99375321
15	28197037
15	28365618
15	36220035
15	45152371
15	48426484
16	89730827
17	40658533
17	41056245
17	48726132
17	53568884
17	62987151
18	35277622
18	40488279
18	67578931
18	67867663
19	4077096
20	62159504
22	41697338
