chr1	101244007
chr1	151150013
chr1	159204893
chr2	7828144
chr2	17181301
chr2	17720218
chr2	108897145
chr2	108963282
chr2	135950412
chr2	157810705
chr3	121740742
chr4	38813881
chr4	99318162
chr4	99323162
chr4	104454266
chr5	33951588
chr5	170775980
chr5	6844922
chr6	136161589
chr6	89808559
chr7	28132967
chr8	32039076
chr8	109590088
chr8	121112062
chr8	144414297
chr9	124505410
chr10	93161308
chr11	61829740
chr11	113425564
chr12	111774029
chr12	111803962
chr13	34273600
chr13	41141146
chr13	42005849
chr13	48496376
chr13	111174820
chr14	98908984
chr15	27951891
chr15	28120472
chr15	35927834
chr15	44860173
chr15	48134287
chr16	89664419
chr17	42506515
chr17	42904228
chr17	50648771
chr17	55491523
chr17	64991033
chr18	37697659
chr18	42908314
chr18	69911695
chr18	70200427
chr19	4077098
chr20	63528151
chr22	41301334
